X,Y,gid,Name,description,altitudeMode,Nghd_Name,Suburban_Area,NGHD_ID,Field_1
-106.491977177207,52.1438722343726,1,Corman Park Planning District,,clampToGround,Corman Park Planning District,N/A,000,Corman Park Planning District
-106.795069797192,52.1345906037132,3,Blairmore Development Area,,clampToGround,Blairmore Development Area,Blairmore,903,Blairmore Development Area
-106.557143941691,52.1252168650436,6,Brighton,,clampToGround,Brighton,Holmwood,080,Brighton
-106.628689833662,52.0960941109394,44,Nutana Park,,clampToGround,Nutana Park,Nutana,039,Nutana Park
-106.550557701078,52.1045607090028,9,Hillcrest Management Area,,clampToGround,Hillcrest Management Area,Lakewood,719,Hillcrest Management Area
-106.53946669399,52.1582218086639,12,U of S Lands East Management Area,,clampToGround,U of S Lands East Management Area,Holmwood,718,U of S Lands East Management Area
-106.558553486128,52.1464313971307,13,Willowgrove,,clampToGround,Willowgrove,University Heights,062,Willowgrove
-106.630477632906,52.1080510154855,49,Holliston,,clampToGround,Holliston,Nutana,036,Holliston
-106.564784691158,52.0979714797328,15,Lakewood Suburban Centre,,clampToGround,Lakewood Suburban Centre,Lakewood,068,Lakewood Suburban Centre
-106.595573348704,52.122127937739,19,College Park,,clampToGround,College Park,Lakewood,046,College Park
-106.655495983552,52.1800592383214,20,Hudson Bay Industrial,,clampToGround,Hudson Bay Industrial,Riel Industrial,112,Hudson Bay Industrial
-106.700049108226,52.1729291025655,22,Airport Management Area,,clampToGround,Airport Management Area,Riel Industrial,717,Airport Management Area
-106.680520190905,52.1586038488322,23,Airport Business Area,,clampToGround,Airport Business Area,Riel Industrial,101,Airport Business Area
-106.621921479638,52.1814053557125,25,Silverwood Heights,,clampToGround,Silverwood Heights,Lawson,056,Silverwood Heights
-106.688320042729,52.1105245318157,29,Holiday Park,,clampToGround,Holiday Park,Confederation,001,Holiday Park
-106.689359828109,52.1460957800443,31,Hudson Bay Park,,clampToGround,Hudson Bay Park,Confederation,018,Hudson Bay Park
-106.67577202269,52.1369034898438,33,Caswell Hill,,clampToGround,Caswell Hill,Core Neighbourhood Area,017,Caswell Hill
-106.589759182582,52.1424648931159,35,Forest Grove,,clampToGround,Forest Grove,University Heights,049,Forest Grove
-106.61988958442,52.1257253064944,38,U of S Lands South Management Area,,clampToGround,U of S Lands South Management Area,University Heights,716,U of S Lands South Management Area
-106.640584669103,52.1215987128805,39,Varsity View,,clampToGround,Varsity View,Core Neighbourhood Area,033,Varsity View
-106.59496029318,52.0972032295653,41,Lakeview,,clampToGround,Lakeview,Lakewood,044,Lakeview
-106.613659693998,52.1096795410707,42,Brevoort Park,,clampToGround,Brevoort Park,Nutana,042,Brevoort Park
-106.622310478874,52.079726059032,43,Stonebridge,,clampToGround,Stonebridge,Nutana,037,Stonebridge
-106.662528120284,52.0899677056328,46,CN Industrial,,clampToGround,CN Industrial,Nutana,103,CN Industrial
-106.640914120087,52.0983698087819,47,Adelaide/Churchill,,clampToGround,Adelaide/Churchill,Nutana,038,Adelaide/Churchill
-106.64751101542,52.1109124142698,48,Haultain,,clampToGround,Haultain,Nutana,032,Haultain
-106.666002418254,52.1386697425913,51,Central Industrial,,clampToGround,Central Industrial,Lawson,102,Central Industrial
-106.571259928825,52.1335661558657,52,Arbor Creek,,clampToGround,Arbor Creek,University Heights,059,Arbor Creek
-106.569796963745,52.1404413102225,53,Erindale,,clampToGround,Erindale,University Heights,060,Erindale
-106.592912148557,52.1595630924316,55,Silverspring,,clampToGround,Silverspring,University Heights,061,Silverspring
-106.56746539756,52.1678061883939,56,Evergreen,,clampToGround,Evergreen,University Heights,069,Evergreen
-106.61376875098,52.1037598187778,57,Nutana Suburban Centre,,clampToGround,Nutana Suburban Centre,Nutana,041,Nutana Suburban Centre
-106.613727311794,52.0971317314815,59,Eastview,,clampToGround,Eastview,Nutana,040,Eastview
-106.676332745109,52.0998679359508,60,Exhibition,,clampToGround,Exhibition,Nutana,028,Exhibition
-106.655749306295,52.103780054339,61,Queen Elizabeth,,clampToGround,Queen Elizabeth,Nutana,030,Queen Elizabeth
-106.613444316827,52.1199802558038,64,Greystone Heights,,clampToGround,Greystone Heights,Nutana,043,Greystone Heights
-106.718262030835,52.1397436965337,71,Massey Place,,clampToGround,Massey Place,Confederation,009,Massey Place
-106.618840714043,52.17117201456,66,Lawson Heights,,clampToGround,Lawson Heights,Lawson,055,Lawson Heights
-106.637312807771,52.1693417973764,67,Lawson Heights Suburban Centre,,clampToGround,Lawson Heights Suburban Centre,Lawson,054,Lawson Heights Suburban Centre
-106.687038744092,52.1355423048293,69,Westmount,,clampToGround,Westmount,Core Neighbourhood Area,016,Westmount
-106.704944418703,52.1354745892794,70,Mount Royal,,clampToGround,Mount Royal,Confederation,015,Mount Royal
-106.717077299756,52.1547112871429,73,Hampton Village,,clampToGround,Hampton Village,Confederation,010,Hampton Village
-106.662640129928,52.1280539265189,76,Downtown,,clampToGround,Downtown,Core Neighbourhood Area,025,Downtown
-106.701244057575,52.1216192728498,77,Pleasant Hill,,clampToGround,Pleasant Hill,Core Neighbourhood Area,013,Pleasant Hill
-106.694044636136,52.1207515000959,78,West Industrial,,clampToGround,West Industrial,Confederation,111,West Industrial
-106.720711546306,52.126405411224,80,Confederation Suburban Centre,,clampToGround,Confederation Suburban Centre,Confederation,057,Confederation Suburban Centre
-106.730329640735,52.1470908881377,81,Dundonald,,clampToGround,Dundonald,Confederation,007,Dundonald
-106.739820524654,52.1383771286283,82,Confederation Park,,clampToGround,Confederation Park,Confederation,006,Confederation Park
